"Year","softwood.timber","hardwood.timber","biodiversity","carbon","flood.regulation","recreation","livestock","crop.service","employment"
2015,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2016,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2017,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2018,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2019,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2020,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2021,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2022,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2023,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2024,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2025,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2026,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2027,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2028,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2029,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2030,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2031,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2032,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2033,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2034,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2035,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2036,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2037,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2038,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
2039,153.222,11.1302,90832.2631,59092.1964,7624.224,5967.33,366.8165,217.216,3677.44
