"Year","softwood.timber","hardwood.timber","biodiversity","carbon","flood.regulation","recreation","livestock","crop.service","employment"
2015,76.611,5.858,53430.743,32828.998,4765.14,5967.33,1,217.216,2298.4
2016,76.611,5.858,53430.743,32828.998,4765.14,5967.33,1,217.216,2298.4
2017,76.611,5.858,53430.743,32828.998,4765.14,5967.33,1,217.216,2298.4
2018,76.611,5.858,53430.743,32828.998,4765.14,5967.33,1,217.216,2298.4
2019,76.611,5.858,53430.743,32828.998,4765.14,5967.33,1,217.216,2298.4
2020,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2021,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2022,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2023,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2024,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2025,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2026,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2027,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2028,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2029,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2030,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2031,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2032,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2033,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2034,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2035,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2036,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2037,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2038,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2039,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2040,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2041,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2042,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2043,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2044,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2045,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2046,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2047,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2048,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2049,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2050,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2051,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2052,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2053,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
2054,76.611,5.858,106861.486,62375.0962,9053.766,10144.461,1320.5394,390.9888,2298.4
