"Year","softwood.timber","hardwood.timber","biodiversity","carbon","flood.regulation","recreation","livestock","crop.service","employment"
2015,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2016,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2017,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2018,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2019,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
2020,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2021,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2022,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2023,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2024,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2025,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2026,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2027,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2028,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2029,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2030,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2031,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2032,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2033,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2034,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2035,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2036,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2037,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2038,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2039,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
2040,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
