"Year","softwood.timber","hardwood.timber","biodiversity","carbon","flood.regulation","recreation","livestock","crop.service","employment"
2015,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2016,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2017,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2018,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2019,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2020,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2021,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2022,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2023,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2024,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2025,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2026,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2027,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2028,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2029,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2030,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2031,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2032,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2033,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2034,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2035,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2036,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2037,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2038,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2039,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2040,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2041,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2042,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2043,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2044,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2045,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2046,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2047,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2048,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2049,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2050,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2051,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2052,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2053,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2054,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2055,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2056,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2057,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2058,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2059,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2060,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2061,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2062,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2063,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2064,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2065,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2066,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2067,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2068,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2069,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2070,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2071,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2072,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2073,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2074,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2075,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2076,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2077,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2078,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2079,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2080,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2081,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2082,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2083,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2084,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2085,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2086,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2087,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2088,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2089,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2090,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2091,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2092,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2093,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2094,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2095,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2096,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2097,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2098,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2099,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
2100,923.129,154.309,16218.158,14790.372,5193.916,3759.981,7546.33,2578.996,4125.867
