"","year_id","wood_cover","tES.div","tLU.div","native.wood.ext","consv.ext","int.agri.ext","int.timb.ext","estates.ext","ext.agri.ext"
"1",2020,11.5431910878432,0.599040128947402,0.835521724811013,1357,8252,8765,1328,22625,31149
"2",2021,14.2984111523711,0.601190602105649,0.841025607281839,1509,8603,9361,1449,23143,31048
"3",2022,16.3657393315882,0.603313314442324,0.84703595667592,1693,8976,9844,1542,23569,30643
"4",2023,18.227308699093,0.605443321106824,0.853695032627255,1849,9299,10390,1609,23962,30030
"5",2024,20.1302733304925,0.607765108777481,0.860669122239569,2017,9668,10789,1686,24353,29249
"6",2025,21.8554818286967,0.60974674843097,0.867340474807793,2153,10006,11077,1764,24772,28427
"7",2026,23.4114567480368,0.611920796165339,0.873440921999721,2326,10388,11297,1818,25183,27555
"8",2027,24.6642722347355,0.613654765628967,0.878345789465974,2488,10779,11516,1852,25585,26717
"9",2028,25.5092226212942,0.615165180159626,0.881497016177678,2640,11166,11769,1865,26003,26071
"10",2029,26.1520667194253,0.616359713907349,0.883785795581455,2802,11561,11973,1874,26421,25508
"11",2030,26.6390698240701,0.617517313680268,0.885567441905056,2955,11980,12243,1878,26920,24879
"12",2031,27.0481524319718,0.618763200622102,0.88789365654109,3094,12358,12465,1879,27316,24161
"13",2032,27.4998478115298,0.620429196585078,0.891081650252874,3173,12835,13177,1881,27771,22559
"14",2033,27.637426188592,0.621243579009936,0.893196453897285,3194,13294,13926,1878,28312,21023
"15",2034,27.7287392707129,0.622081250407503,0.894199364854061,3204,13740,14780,1864,28823,19361
"16",2035,27.7883971510318,0.622770724365315,0.894158917537099,3211,14208,15518,1849,29369,17801
"17",2036,27.8736226943447,0.623453513694155,0.893115735956519,3211,14669,16198,1838,29930,16267
"18",2037,27.9758933463201,0.623962414537208,0.891737981434611,3204,15150,16554,1836,30517,15041
"19",2038,28.0185061179765,0.62449302843629,0.890006648784168,3190,15242,17125,1823,30711,14131
"20",2039,28.0939915991964,0.624693334963176,0.889022400301025,3193,15249,17451,1821,30807,13727
"21",2040,28.1962622511718,0.624914939662974,0.888275591846202,3206,15262,17644,1815,30926,13454
"22",2041,28.2571376392524,0.625079816013702,0.887457240746825,3213,15269,17847,1800,31023,13206
"23",2042,28.3350581359956,0.625170180509878,0.887198840047959,3218,15274,17816,1791,31132,13163
"24",2043,28.4336762646862,0.625272147968304,0.887073183937959,3225,15281,17745,1782,31246,13149
"25",2044,28.5213368235223,0.625367395222925,0.886854709074067,3228,15284,17680,1764,31366,13146
"26",2045,28.6211724599744,0.62542114077737,0.886823966243395,3229,15285,17522,1753,31494,13220
"27",2046,28.719790588665,0.625435342442846,0.886775393412893,3220,15276,17382,1735,31632,13278
"28",2047,28.8074511475011,0.625450536376575,0.886749310716026,3215,15271,17200,1713,31784,13368
"29",2048,28.9145918305229,0.62545530019522,0.886769153416944,3213,15269,17007,1697,31927,13476
"30",2049,29.0266025445912,0.625471591554011,0.886792191714418,3201,15257,16770,1687,32080,13628
"31",2050,29.1106105801424,0.625445309881646,0.886903517890733,3180,15236,16535,1680,32227,13781
"32",2051,29.0631277774396,0.625517178019921,0.887382442026847,3151,15207,16087,1659,32317,14229
"33",2052,28.9182443538078,0.625660595747194,0.887566050824431,3128,15184,15617,1627,32393,14731
"34",2053,28.7076155110489,0.625869459342801,0.886729375518019,3101,15157,15110,1587,32424,15336
"35",2054,28.4446338345407,0.626142200206709,0.885167017261888,3081,15137,14605,1549,32442,15951
"36",2055,28.3155780118098,0.626515274274109,0.883179446624971,3064,15120,13997,1524,32458,16653
"37",2056,28.1134717233822,0.626903232695359,0.880841900799028,3045,15106,13327,1493,32475,17440
"38",2057,27.7226517319048,0.627239366853206,0.87788941060599,3037,15103,12532,1469,32482,18359
"39",2058,27.4645400864431,0.627954037833321,0.873770128034612,3011,15085,11736,1463,32491,19294
"40",2059,27.2405186583064,0.628406986878787,0.870251645483752,2984,15064,11071,1451,32497,20061
"41",2060,27.1358129908078,0.628505886964122,0.869352065041433,2975,15061,10928,1449,32509,20254
"42",2061,27.0298898155476,0.628609640419424,0.868618350261122,2965,15056,10939,1446,32515,20293
"43",2062,26.9373592256651,0.628618519182194,0.868359660212387,2965,15052,10921,1445,32518,20352
