"","year_id","wood_cover","tES.div","tLU.div","native.wood.ext","consv.ext","int.agri.ext","int.timb.ext","estates.ext","ext.agri.ext"
"1",2020,11.5431910878432,0.599040128947402,0.835521724811013,1357,8252,8765,1328,22625,31149
"2",2021,15.3491203506422,0.602334057126452,0.84443549113466,1597,8706,8994,1524,23037,30293
"3",2022,16.6506361478054,0.602479399685276,0.853805848883718,1616,8889,9229,1518,23997,28570
"4",2023,19.8514640530833,0.6056282287057,0.863337086345911,1798,9377,9658,1651,24616,27058
"5",2024,22.7491325257199,0.607893260454454,0.87118762560598,1953,9836,9867,1764,25357,25564
"6",2025,25.7064588786753,0.610599932795338,0.87865631820398,2134,10398,10091,1880,26072,23908
"7",2026,28.3861934619833,0.613158848551044,0.883989381378614,2376,10916,10277,1987,26569,22646
"8",2027,29.817982589639,0.614990355921006,0.888097763820237,2632,11400,10374,2024,26920,21591
"9",2028,30.4389115480611,0.616330967941256,0.889900699001171,2922,11847,10421,2027,27101,21122
"10",2029,30.991660071833,0.617450152582424,0.89162762499541,3212,12298,10453,2030,27337,20604
"11",2030,31.5212759481342,0.618562300588274,0.89329258357263,3506,12786,10511,2034,27613,20049
"12",2031,31.9778413587387,0.619577179412262,0.894661083938629,3765,13231,10544,2034,27862,19531
"13",2032,32.4952821574238,0.620768641160415,0.895938420418534,4094,13664,10555,2034,28011,19109
"14",2033,32.9250623972728,0.621727288801257,0.897059829633628,4371,14073,10554,2034,28218,18677
"15",2034,33.3986729165398,0.622704382414452,0.898313225969437,4637,14521,10603,2034,28529,18047
"16",2035,33.8637608814756,0.623652118633389,0.899344632551959,4909,15019,10687,2034,28922,17292
"17",2036,34.3251963231266,0.624477241509696,0.900220355860391,5078,15505,10890,2034,29516,16236
"18",2037,34.8280270286723,0.625392675078602,0.900699513314484,5271,16001,11047,2035,30085,15190
"19",2038,35.3284227186948,0.626355368975568,0.900851419920558,5481,16460,11211,2035,30594,14166
"20",2039,35.9006513666525,0.627244064746017,0.900458505625993,5663,16930,11347,2035,31184,13063
"21",2040,36.4533998904243,0.628086561610902,0.899576063827053,5838,17424,11449,2035,31801,11944
"22",2041,34.3422414317891,0.618021519212709,0.898559988340623,5916,17952,11198,2095,32707,10368
"23",2042,33.3122298654654,0.616788341672373,0.893694183403177,5528,18081,11870,1905,33849,9967
"24",2043,33.6957448103732,0.617986605595784,0.889737072243069,5531,18515,12523,1909,34491,8380
"25",2044,33.9538564558349,0.618685617272981,0.888477561316019,5553,18606,12861,1913,34573,7825
"26",2045,34.3203262920801,0.618976384450026,0.888116533614211,5571,18651,12642,1916,34692,7830
"27",2046,34.6953186826566,0.619423224019321,0.888278435242304,5607,18710,12518,1916,34719,7843
"28",2047,35.2151944968649,0.620087461808476,0.888310824936218,5660,18805,12308,1916,34768,7875
"29",2048,35.8093382845316,0.620849500185596,0.888479541702418,5723,18892,12091,1916,34795,7904
"30",2049,36.6177634382419,0.6215667970288,0.887943940271279,5784,19147,11781,1916,35090,7723
